diametro,altura
31.2,13.8
35.2,11.3
15.5,4
30.6,13.3
32.9,17.8
17.2,7.8
32.1,18.3
10.4,8
46.8,19.5
26.4,7
31.8,10.2
30.3,16.4
17.6,8.1
11.5,7.6
11.3,6.4
36,14
15.6,6.8
33.8,12.7
45,18
11,7.4
31.7,15
37.2,14.1
10,6
13.8,11.7
13,7.2
12.1,7
14,3
19.3,9.2
30.3,8.1
29.7,10.8
14.9,5.2
12,7.9
35,15.7
28.8,15.7
10,3.2
12.5,3.7
18.4,5.4
28,16
23,12.3
38,13.6
13.4,9.5
19.7,14.4
14.3,8.1
45.8,17.2
16.5,9.8
15.3,10.7
13.2,9.6
19.3,16.5
22,7.6
17.3,7.7
31,12.8
13.4,9
10.8,4.7
10,4.7
14.4,7.2
19.7,7.4
14.7,7
24.3,10.5
27.7,14.9
33.7,16.6
31.2,13.6
31.4,13.4
21.7,10.2
26.5,13.7
30.2,16.2
11,10.4
14.2,5.5
26.7,11.8
18.9,11.9
20.5,7.5
30.9,12.7
34.2,15.6
25.8,9.6
23.2,7.1
17.2,6.6
19.5,5.1
11,3.9
15.8,3.2
14.2,7.2
33.8,18.4
30,12.2
29,19.9
23.3,12.8
41.4,14.6
30.3,10.8
16.6,10.4
31.8,12.7
38,16.8
16.3,8.6
29.5,13.5
37.8,13.3
30.7,13.9
15,6
21.1,12
11.1,9
22.1,6.2
23.8,16.6
13.2,10.9
13,11.6
23,15.7
30,12
28,12.4
14.5,9
15,9.4
26,8.4
10,6.8
13.4,8
17,7.6
11,8.8
24.2,10.8
18.5,7.2
20.2,10.8
24.3,10.6
40.9,13.6
12.5,9.2
23.3,14.1
12,8
37.1,13
34.5,13.1
22,8.3
16,10.5
28,13.5
37.1,18
50.5,16.8
41.6,16.9
33.8,14.6
29,13.5
36,13.4
48.7,21.2
47.6,16.6
19.8,15.9
36.7,20.8
36,15.9
43.8,20.1
16.8,9.2
51,19
39,13
40.5,18.5
26.5,13.8
31.6,17.4
41.6,18.4
34.3,17.9
48,18.1
32.8,11.1
49.2,17.6
34.6,17.5
41,19.7
39,17
34.2,16.8
44.5,20.3
20,12.3
15.5,3.4
44.8,17.4
20.2,9
41,21.1
46,16.3
15.5,10
12.2,3.5
36.9,20.6
19.9,6.1
40.3,16.3
27.4,12.2
35.8,17.5
34.4,13.2
